"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 14, 2020","931.95","908.65","932.12","900.97","235.37M","2.56%"
"Apr 09, 2020","908.65","892.48","908.73","888.48","277.03M","1.81%"
"Apr 08, 2020","892.48","884.64","896.91","884.64","306.35M","0.89%"
"Apr 07, 2020","884.64","871.96","884.64","871.77","311.05M","1.54%"
"Apr 06, 2020","871.26","892.24","897.75","870.34","314.67M","-2.37%"
"Apr 03, 2020","892.44","895.97","897.27","877.04","209.09M","-0.14%"
"Apr 02, 2020","893.69","894.05","895.10","877.49","238.69M","-0.04%"
"Apr 01, 2020","894.05","902.83","903.25","877.56","130.91M","-0.92%"
"Mar 31, 2020","902.37","904.35","904.84","900.72","407.70M","-0.22%"
"Mar 30, 2020","904.35","929.51","929.51","904.35","154.85M","-2.88%"
"Mar 27, 2020","931.17","930.25","932.41","927.92","231.58M","0.56%"
"Mar 26, 2020","925.99","923.84","932.37","922.76","134.35M","0.23%"
"Mar 25, 2020","923.84","924.86","928.43","920.78","205.61M","-0.11%"
"Mar 24, 2020","924.86","922.24","926.34","922.24","296.89M","0.30%"
"Mar 23, 2020","922.10","946.98","947.50","921.76","391.96M","-2.63%"
"Mar 20, 2020","946.98","942.10","947.65","938.64","324.16M","0.27%"
"Mar 19, 2020","944.43","978.48","978.48","944.43","370.08M","-3.50%"
"Mar 18, 2020","978.70","967.34","979.46","947.25","587.70M","1.21%"
"Mar 17, 2020","967.04","972.47","988.06","964.51","604.92M","-0.56%"
"Mar 16, 2020","972.47","976.26","978.65","968.88","500.45M","-0.33%"
"Mar 13, 2020","975.65","975.07","978.80","965.32","647.49M","0.23%"
"Mar 12, 2020","973.40","1,014.20","1,014.20","972.97","970.69M","-4.37%"
"Mar 11, 2020","1,017.84","1,051.12","1,053.29","1,001.73","1.29B","-3.67%"
"Mar 10, 2020","1,056.67","1,106.80","1,106.80","1,055.36","502.82M","-5.54%"
"Mar 09, 2020","1,118.63","1,142.48","1,142.48","1,118.63","121.89M","-2.68%"
"Mar 06, 2020","1,149.44","1,157.66","1,159.11","1,149.20","263.02M","-0.81%"
"Mar 05, 2020","1,158.82","1,157.26","1,166.80","1,155.95","248.72M","0.15%"
"Mar 04, 2020","1,157.09","1,150.40","1,158.26","1,149.03","207.56M","0.71%"
"Mar 03, 2020","1,148.98","1,128.24","1,153.13","1,128.24","324.17M","1.84%"
"Mar 02, 2020","1,128.24","1,144.33","1,145.73","1,127.88","240.18M","-1.72%"
"Feb 28, 2020","1,148.03","1,176.85","1,176.85","1,148.03","312.51M","-2.45%"
"Feb 27, 2020","1,176.85","1,185.46","1,185.46","1,176.26","195.77M","-0.71%"
"Feb 26, 2020","1,185.31","1,187.69","1,188.01","1,179.75","184.66M","-0.20%"
"Feb 25, 2020","1,187.69","1,188.01","1,191.41","1,187.63","177.62M","-0.03%"
"Feb 24, 2020","1,188.01","1,204.42","1,210.99","1,185.88","378.55M","-1.36%"
"Feb 21, 2020","1,204.42","1,213.89","1,216.43","1,197.01","314.87M","-0.78%"
"Feb 20, 2020","1,213.89","1,212.02","1,216.56","1,200.01","196.09M","0.19%"
"Feb 19, 2020","1,211.53","1,212.41","1,213.06","1,210.57","203.18M","-0.07%"
"Feb 18, 2020","1,212.41","1,213.82","1,213.82","1,211.42","119.29M","-0.12%"
"Feb 17, 2020","1,213.82","1,222.89","1,225.99","1,210.60","81.44M","-0.74%"
"Feb 14, 2020","1,222.89","1,228.91","1,229.52","1,219.61","64.26M","-0.49%"
"Feb 13, 2020","1,228.91","1,229.43","1,231.27","1,219.43","104.16M","-0.03%"
